,Mean
AAPL,15.458863636363638
MSFT,22.238636363636367
AMZN,273.2143181818182
GOOG,31.381200000000003
FB,91.068125
TSLA,79.77449999999999
BRK.A,18.95681818181818
V,29.56613636363637
JNJ,41.98045454545454
WMT,17.720000000000006
JPM,10.139318181818181
MA,29.212045454545454
PG,22.738181818181815
UNH,15.031136363636366
DIS,15.745227272727272
NVDA,32.03066666666666
HD,18.76177777777778
PYPL,52.52578947368421
BAC,12.966818181818184
VZ,22.764545454545456
ADBE,58.11199999999999
CMCSA,14.932954545454544
NFLX,153.19477272727272
KO,27.91363636363636
NKE,30.824888888888886
MRK,27.301363636363636
PEP,19.04136363636363
T,13.97045454545455
PFE,14.273863636363638
INTC,11.529772727272729
CRM,361.03955555555547
ABT,39.227045454545454
ORCL,19.62644444444444
ABBV,21.284827586206895
CSCO,27.340888888888887
TMO,27.484090909090913
AVGO,32.92813953488372
XOM,15.670454545454545
ACN,19.546
QCOM,16.594545454545457
COST,25.03577777777778
CVX,15.363181818181822
LLY,24.296136363636364
MCD,18.92659090909091
DHR,21.22613636363636
MDT,22.775555555555556
NEE,16.919772727272726
TXN,17.99340909090909
HON,20.345454545454547
UPS,23.83181818181818
