,10Y CAGR,5Y CAGR,3Y CAGR,1Y CAGR
TSLA,0.43840433807257195,0.24385903253381613,0.21001343537375794,1.329411764705882
CRM,0.3313225563812774,0.1994141087182364,0.2919573867340213,0.9232167196728758
NFLX,0.4631966151917777,0.1652046959940252,0.24916778728109623,0.49361430395913164
LLY,-0.0697796777839752,-0.092311610109718,-0.17417084851718612,0.445983379501385
AMZN,0.27743245362081925,0.20059033923863945,0.26372552176340625,0.44437631394533983
NVDA,0.16707871082771408,0.11257291354455345,0.1775448070377479,0.32881555686505615
FB,,0.10870176395931841,0.10995902260210877,0.2540983606557379
QCOM,-0.08419291103589144,-0.12584261803404628,-0.23768933399336456,0.25174825174825166
COST,0.05334116540745226,0.05524007866459146,0.10838684125043274,0.1957686882933709
MA,0.04695115213338452,0.004719907447363836,-0.0076573593633452175,0.19066937119675464
ACN,0.19226917451805337,0.10422128215772797,0.1254327419005279,0.18326180257510738
UNH,0.11905814070866194,0.07517774461025417,0.08008250372586412,0.17658632562715204
MSFT,0.11523743849816337,0.05333914162068254,0.07034638906640578,0.17422606191504664
DHR,0.10254658602271283,0.04679071065785467,0.07937167783315058,0.15664214625703154
ADBE,0.09428795067811535,0.059262436171793276,0.0803415017938256,0.15530303030303028
CSCO,0.013458868259952128,-0.026769986184027483,-0.07574795005381119,0.1329113924050631
PYPL,,0.03865295473676533,0.042493532246953514,0.12606837606837606
GOOG,,0.06394723941236924,0.06799443177519215,0.11332789964208523
JNJ,0.01622125109256345,-0.005428462594501138,-0.023272453153725836,0.10664256665160421
VZ,-0.06026927876054455,0.1624165451637103,0.18198142952139595,0.10288065843621386
CMCSA,0.09307997638486776,0.06117422942410333,0.09714262797668316,0.10000000000000009
TMO,0.07561188639738359,0.04392966196964876,0.05445236841019874,0.09684469334790324
MRK,-0.04763768848367578,-0.03369422410213141,-0.03905234247630318,0.09564393939393945
AVGO,0.26447685449554825,0.14115711631468653,0.009164527703114267,0.07921525078659997
INTC,0.07841683372054264,0.041867624821292804,0.03711448408377116,0.0656121851200937
V,0.09563588980963855,0.033184000477991527,0.03420697823343333,0.06260671599317025
WMT,0.045845070307224844,0.011557031626470149,0.01641541982630179,0.0575858250276855
JPM,0.07223246168189457,0.029116604580447625,0.03615124759854438,0.05529188419553854
BAC,0.030566620385036325,0.023775460383353764,0.03567334019309376,0.05006765899864685
BRK.A,0.07309501591834344,0.042052403892532286,0.05404196383890336,0.04748767113839358
NEE,0.09755409753763322,0.05655207502800219,0.08111730920631555,0.044790652385589214
PG,-0.01410412428255614,-0.016516432011452697,-0.021510070316006713,0.039808917197452276
T,0.03628958427590656,0.032113100846279385,0.05917226719322399,0.028936490041337803
HON,0.0687811833840104,0.011760753980331051,-0.012966531502185408,0.0187353629976581
UPS,-0.027983262865683978,0.11475661512817736,0.29383332554080654,-0.0015384615384614886
NKE,0.015505761353353131,-0.02452344843675003,-0.04280093872471269,-0.0016949152542373724
PFE,0.007051339051732164,0.008157594664178092,0.028390338621645528,-0.002538071065989911
MDT,0.10754995804002543,0.0005074051714253347,0.000319880643369741,-0.0029208709506106656
MCD,,,0.21130858456158497,-0.004378283712784703
ABT,0.025211937155942055,0.022881148402050133,-0.007457790579846524,-0.015461071231363976
KO,-0.024955616928916458,-0.024312869481701638,-0.018768324408877102,-0.020703933747411973
PEP,-0.025979051765404826,0.0056660297022590456,0.00855717419360591,-0.035328753680078484
TXN,0.0067488529931598595,-0.007508392118912521,-0.040280278649385104,-0.05619146722164403
DIS,0.09101885105547836,0.05005364727506545,0.1056101284352664,-0.05993930197268582
XOM,0.038722150149551604,0.00274365436817936,-0.004474351370918561,-0.06288903198111195
CVX,0.03289227689107066,-0.015731489966336665,-0.019105876929667254,-0.14776425213932753
AAPL,0.07546127875191999,-0.03236694720116384,-0.10055089032953302,-0.24361493123772093
ORCL,-0.06342297565984623,-0.1126363590476066,-0.24292869485335478,-0.4176776429809359
HD,,,,-0.6415094339622642
ABBV,,0.11295125687906382,0.15627403624019842,-2.5575539568345325
