,10Y CAGR,5Y CAGR,3Y CAGR,1Y CAGR
CSCO,0.09533034830164833,0.11864129597314399,0.07346037385171744,129.5
BRK.A,0.25373629457046953,0.32727406511767154,0.5039362312077209,19.368098159509206
ORCL,0.10543445059348855,0.04528784058682156,0.12787776387601735,2.494117647058824
CRM,0.31858870966150765,,,1.9183673469387754
LLY,0.0847772133835396,0.3186191529540172,0.5104070995839123,1.8402555910543135
MSFT,0.12063336889040488,0.1398270352404456,0.2549801322759666,1.375586854460094
NKE,0.12600047956388383,0.10816037219990005,0.048532425259381284,1.1282051282051286
MRK,-0.038636447982507205,-0.013115987906105908,0.39284232148984555,0.642241379310345
ABT,-0.056625602956042465,0.06693064751987632,0.29891217907443357,0.5488721804511278
PFE,0.08842291989017026,0.15111499282151208,0.3486482038743415,0.543010752688172
NFLX,0.30881782782575606,0.4612067590069342,1.12566031891993,0.5410447761194028
MDT,0.06363753678762185,0.024588523989719002,0.11199004528465784,0.5022026431718063
ABBV,inf,0.36851085783726334,0.1330326698854094,0.4426229508196722
MA,0.2163547290790615,0.20695689956984964,0.29101526901112873,0.4178571428571429
KO,0.03482116117158984,0.05285865735151418,0.1158214153948911,0.3799999999999999
NVDA,,0.5504449889846812,0.8310347685693229,0.3755186721991701
HD,0.2192725717153594,0.2094418688250994,0.21238363587745468,0.3347050754458163
TMO,0.16390444779874547,0.14253545445219729,0.21679434993093505,0.26657458563535896
VZ,0.10456798296190839,0.1395346027903701,0.13148631805373312,0.23670212765957466
PYPL,,0.43515327266866,0.21644039911467994,0.21052631578947367
V,0.25079395036428487,0.19640620575711498,0.28743889668675515,0.20100502512562812
JPM,0.1684459689200828,0.1517224241187758,0.20088488552474337,0.19111111111111123
UNH,0.16029953452512014,0.2024700465816338,0.25497785163008424,0.1755537325676786
COST,0.12830966791047538,0.12177412653625064,0.15722448159473257,0.1650211565585331
ACN,0.11673158281525753,0.10242201129162765,0.04497531937095789,0.1608832807570979
ADBE,0.23447653435776372,0.6247070917972446,0.3726329560973354,0.15384615384615374
AMZN,0.27417372488932834,,0.6745836484850347,0.14250248262164855
GOOG,0.17019601065472512,0.19035230294881922,0.2085433274515247,0.12494279176201362
CMCSA,0.16210290976082398,0.12081333809388606,0.16713782595151505,0.11857707509881443
DHR,0.08878189874785591,0.022138341954546892,0.03527100998852428,0.08288770053475925
BAC,,0.45618542773122406,0.22663534666130936,0.05363984674329503
INTC,0.19854133976322785,0.15313933164796834,0.3048532814521443,0.05133928571428559
MCD,0.0672555933440826,0.10330563388049518,0.13146842583029117,0.04509283819628651
JNJ,0.02495682537999322,-0.002468295275019683,-0.017156053394820625,0.0035650623885916666
AAPL,0.249570164278055,0.13028018663530583,0.1260673630690694,-0.003355704697986517
TXN,0.16375978250806744,0.15313361576522788,0.1461743388331045,-0.06261180679785328
HON,0.1516067810179944,0.09550346957234823,0.10637273640286238,-0.06347438752783963
UPS,0.10056699069866837,0.09272130651299304,0.0980223963089395,-0.072595281306715
TSLA,-0.04724136149739522,0.15831223453416166,0.01398782561512002,-0.14035087719298245
FB,0.5164255643907742,0.4235202764116248,0.22591920496856077,-0.1505944517833554
DIS,0.1419985202087899,0.09282770371307025,0.05035914049463752,-0.20574162679425834
WMT,-0.039735499207781966,-0.14269032790291036,-0.2092046995957414,-0.3109756097560976
XOM,-0.016791508853275405,-0.15061392457612477,0.21355782812331459,-0.3114754098360656
T,-0.008093367318772526,0.0879477135618163,-0.03451061539437028,-0.33684210526315794
PEP,0.032681030216219265,0.040195794804998686,0.06048765696840874,-0.4077448747152619
NEE,0.06958832440347695,0.06741853275792997,0.07537279115895723,-0.4409221902017292
PG,-0.10341257413520488,-0.18634868069297195,-0.27092888813687066,-0.6103542234332425
AVGO,,0.4538351195105448,,-0.7739099859353025
CVX,-0.1152533164209224,-0.3140435356710839,,-0.8010335917312661
QCOM,0.1421866619690153,-0.05042712753189871,-0.01963042612875099,-2.0589970501474926
