,results
AAPL,Last 5Y OK
MSFT,Last 5Y OK
AMZN,Last 2Y OK
GOOG,Last 5Y OK
FB,Last 5Y OK
TSLA,Last 4Y OK
BRK.A,Not good to invest
V,Last 5Y OK
JNJ,Last 5Y OK
WMT,Not good to invest
JPM,Not good to invest
MA,Last 5Y OK
PG,Not good to invest
UNH,Not good to invest
DIS,Last 2Y OK
NVDA,Last 5Y OK
HD,Last 2Y OK
PYPL,Last 5Y OK
BAC,Not good to invest
VZ,Not good to invest
ADBE,Last 3Y OK
CMCSA,Not good to invest
NFLX,Last 2Y OK
KO,Last Y OK
NKE,Last 5Y OK
MRK,Last 5Y OK
PEP,Not good to invest
T,Not good to invest
PFE,Last 2Y OK
INTC,Last 5Y OK
CRM,Last 2Y OK
ABT,Last 5Y OK
ORCL,Last 5Y OK
ABBV,Not good to invest
CSCO,Last 5Y OK
TMO,Last 5Y OK
AVGO,Last 5Y OK
XOM,Not good to invest
ACN,Last 5Y OK
QCOM,Last 5Y OK
COST,Last 2Y OK
CVX,Last 2Y OK
LLY,Last 5Y OK
MCD,Not good to invest
DHR,Last 5Y OK
MDT,Last 5Y OK
NEE,Not good to invest
TXN,Last 5Y OK
HON,Last 5Y OK
UPS,Last 5Y OK
