,Mean,results
ACN,84.79976744186047,True
MA,78.92242424242423,True
FB,66.80071428571429,True
HD,40.54883720930232,True
AAPL,39.580666666666666,True
UPS,36.41953488372093,True
TXN,34.72789473684211,True
ABBV,33.53055555555555,True
MCD,31.30488372093023,True
NKE,30.67720930232558,True
V,29.58413793103448,True
MSFT,28.740465116279072,True
INTC,22.933023255813957,True
PYPL,22.422,True
PEP,22.149302325581395,True
XOM,22.108604651162793,True
NFLX,22.02046511627907,True
UNH,21.488837209302325,True
HON,21.47720930232558,True
COST,21.18093023255814,True
LLY,21.111627906976743,True
JNJ,20.860697674418603,True
WMT,20.236279069767438,True
GOOG,19.905789473684212,True
KO,19.871627906976745,True
QCOM,19.609545454545454,True
NVDA,19.3953488372093,True
ORCL,18.86953488372093,True
DIS,16.62046511627907,True
VZ,16.618372093023257,True
CSCO,16.413023255813957,True
PG,16.23767441860465,True
ADBE,15.997209302325581,True
AVGO,15.947441860465114,True
CVX,15.43674418604651,True
CMCSA,13.638604651162789,True
AMZN,13.553953488372095,True
PFE,12.652558139534882,True
MRK,12.598837209302326,True
MDT,12.572558139534884,True
DHR,10.09139534883721,True
T,9.649302325581395,False
ABT,9.606046511627909,False
NEE,8.766046511627906,False
TMO,7.519767441860463,False
JPM,5.974418604651162,False
BAC,3.294883720930233,False
CRM,0.6567441860465115,False
TSLA,-25.521463414634145,False
BRK.A,,False
